Location,Site,Reef Type ,Management,Current,Depth range,Transect,Genus ,Co-ccurrance,Count
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Galaxea,B,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Goniastrea,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Isopora,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Isopora,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Leptoseris,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Montipora,B,3
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Montipora,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Pavona,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Pavona,"WS, P",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Pavona,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Pocillopora,B,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Pocillopora,B,3
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Pocillopora,P,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,B,3
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"B, others",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"B, WS",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,B,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"B, P",2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"B, WS",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,P,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,P,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"WS, P",12
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"WS, P",2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,WS,4
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"WS, E",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Porites,"WS, other diseases",4
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,1,Stylophora,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Acropora,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Coscinaraea,"B, E",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Diploastrea,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Diploastrea,WS,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Favites,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Leptastrea,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Montipora,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Pocillopora,B,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Pocillopora,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Pocillopora,P,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,P,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,P,3
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,"WS, P",7
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,"WS, P",4
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,WS,4
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,2,Porites,WS,4
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Acropora,B,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Diploastrea,WS,3
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Favites,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Leptoria,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Leptoria,"WS, P",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Montipora,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Montipora,"WS, P",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Pavona,"B, P",1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Platygyra,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Pocillopora,B,11
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Pocillopora,P,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,B,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,B,5
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,B,2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,P,3
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,"WS, P",2
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,"WS, P",6
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,WS,1
Leleuvia ,LUSF1,Fore reef,Tabu,High,Shallow,3,Porites,"WS, E",1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Acropora,B,3
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Favites,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Favites,B,2
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Goniastrea,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Millepora,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Montipora,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Montipora,WS,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Pavona,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Pocillopora,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Porites,"WS, P",1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Porites,WS,3
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,1,Porites,WS,10
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Acropora,P,2
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Favites,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Porites,B,1
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Porites,P,3
Leleuvia ,LUSF2,Fore reef,Open,Low,Shallow,2,Porites,P,2
