site,transect,genus,B,others,FB,GA,IG,P,PR,TLS,UWS,WS,healthy,TotalD,Total Bleaching
LUSRF1,2,Astreopora,1,0,0,0,0,0,0,0,0,0,1,1,1
LUSRF1,2,Cyphastrea,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,2,Favia,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSRF1,2,Favites,0,0,0,0,0,0,0,0,0,0,7,0,0
LUSRF1,2,Fungia,0,0,0,0,0,0,1,0,0,0,3,1,0
LUSRF1,2,Goniastrea,1,0,0,0,0,0,0,0,0,0,13,0,1
LUSRF1,2,Hydnophora,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,2,Isopora,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSRF1,2,Leptastrea,0,0,0,0,0,0,0,0,0,0,4,0,0
LUSRF1,2,Lobophyllia,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,2,Merulina,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,2,Montastrea,0,0,0,0,0,0,0,0,0,0,2,0,0
LUSRF1,2,Montipora,0,0,0,0,0,0,0,0,0,0,19,0,0
LUSRF1,2,Pavona,0,0,0,0,0,0,0,0,0,0,6,0,0
LUSRF1,2,Platygyra,0,0,0,0,0,1,0,0,0,0,14,0,0
LUSRF1,2,Pocillopora,1,0,0,0,0,0,0,0,0,0,14,0,1
LUSRF1,2,Porites,2,0,4,0,0,3,1,0,2,0,84,3,6
LUSRF1,2,Stylophora,0,0,0,4,0,0,0,0,0,0,18,4,0
LUSRF1,2,Turbinaria ,0,0,0,0,0,0,0,0,0,0,1,0,0
LUSRF1,3,Acropora,3,0,1,0,0,2,1,0,1,1,127,3,4
LUSRF1,3,Astreopora,0,0,0,0,0,0,2,0,0,0,0,2,0
LUSRF1,3,Cyphastrea,0,0,0,0,0,0,0,0,0,0,8,0,0
LUSRF1,3,Echinopora,0,0,0,0,0,0,0,0,0,0,1,0,0
