Location,Date,Time,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Potential Syndrome - If disease,Other non disease potential ,Other potential non diseae Symptom,Comments,Cat
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"B, PD",,Bleaching ,,Partly dead with uneven white spots on surface,B
NanuyaLailai,,,NLDF2,1,Montipora,1,E,1,"B, PD",,Bleaching ,,Partly dead with white patches on surface,B
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Porites,1,SM,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,2,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,B,1,"FB, PD",,Focal Bleaching ,,Partly dead with white patches on some branches,FB
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Millepora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,B,,Bleaching ,,Partly bleached,B
NanuyaLailai,,,NLDF2,1,Montipora,1,F,1,"B, PD",,Bleaching ,,Partly dead and bleached,B
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,2,"PR, PD, PD",Pigmentation Response,Predation,,Partly dead colony with pink and purple spots and big fish feeding marks,PR
NanuyaLailai,,,NLDF2,1,Favites,1,SM,1,"B, PD",,Bleaching ,,Partly dead with big white patches on surface,B
NanuyaLailai,,,NLDF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Diploastrea,1,M ,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Favites,1,E,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,2,"PR, PD",Pigmentation Response,,,Partly dead with pink and purple patches,PR
NanuyaLailai,,,NLDF2,1,Millepora,1,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,6,B,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,2,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Montipora,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Acropora,1,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Pavona,1,E,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,M ,1,"P, PD",,Predation,,Partly dead with drupella feeding mark,P
NanuyaLailai,,,NLDF2,1,Acropora,1,T,1,"UWSD, FB, PD",Ulcerative White Spot Disease,Focal Bleaching ,,Partly dead with white spots and patches,UWS
NanuyaLailai,,,NLDF2,1,Acropora,3,T,0,,,,,,H
NanuyaLailai,,,NLDF2,1,Porites,1,SM,3,PD,,,,,PD
NanuyaLailai,,,NLDF2,1,Pavona,1,SM,3,"P, PD",,Predation,,Fish feeding mark,PD
