Location,Date,SiteName,Transect#,Genus ,NumberperTransect,Growthforms,Signs of abornmality,Types,Syndrome,Causes,Comments,New Cat
Moorea,,MRSF1,1,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Acropora,1,T,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,5,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,1,Montastrea,1,M,1,"B, PD",B,B,Bleached and partly dead,BL
Moorea,,MRSF1,1,Porites,1,SM,4,E,,,Bioeroded,IG
Moorea,,MRSF1,1,Pocillopora,5,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,2,B,0,,,,,H
Moorea,,MRSF1,1,Favia,1,M,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF1,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,21,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,5,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,22,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,E,0,,,,,H
Moorea,,MRSF1,1,Acropora,3,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montastrea,1,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Porites,1,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,11,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,1,Porites,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,5,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,SM,2,"PR, PD",PR,,"Pigmentation Response, Partly dead",PR
Moorea,,MRSF1,1,Pocillopora,11,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Acropora,2,B,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montastrea,2,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,13,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montipora,1,E,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF1,1,Fungia,1,S,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleached ,BL
Moorea,,MRSF1,1,Pocillopora,12,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,B,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montastrea,1,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pavona,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Porites,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Favia,1,M,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,13,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Acropora,4,T,0,,,,,H
Moorea,,MRSF1,1,Favia,1,M,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,38,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,10,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"PR, PD",PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,29,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,8,SM,1,B,B,B,,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,30,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,13,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,28,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,17,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montipora,1,E,1,B,B,B,Bleached ,BL
Moorea,,MRSF1,1,Pocillopora,9,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,10,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,5,M,3,PD,,,,PD
Moorea,,MRSF1,1,Porites,3,M,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,B,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,2,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Pocillopora,20,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,4,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,20,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Favia,1,M,0,,,,,H
Moorea,,MRSF1,1,Favia,1,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,10,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,9,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,3,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,1,Acropora,3,T,3,PD,,,,PD
Moorea,,MRSF1,1,Acropora,3,T,0,,,,,H
Moorea,,MRSF1,1,Porites,1,M,4,"E, PD",,,"Bioeroded, Partly dead",IG
Moorea,,MRSF1,1,Porites,3,SM,3,PD,,,Partly dead,PD
Moorea,,MRSF1,1,Pocillopora,4,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,14,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Montipora,1,E,1,"E, PD, B",,,"Bioeroded, partly dead, bleached",BL
Moorea,,MRSF1,1,Porites,1,M,1,FB,FB,B,Focal bleaching with a white spot,FB
Moorea,,MRSF1,1,Porites,2,M,0,,,,,H
Moorea,,MRSF1,1,Porites,2,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Porites,2,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,11,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,4,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Montastrea,4,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,9,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,2,SM,1,UWS,UWS,WSO,White spots and partly dead,UWS
Moorea,,MRSF1,1,Montipora,2,E,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF1,1,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,11,SM,0,,,,,H
Moorea,,MRSF1,1,Montastrea,2,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,M,1,"B, PD",B,B,"Bleached, partly dead",BL
Moorea,,MRSF1,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Montipora,1,E,0,,,,,H
Moorea,,MRSF1,1,Porites,1,M,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Pocillopora,4,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Acropora,2,D,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,4,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,2,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Pocillopora,3,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Porites,1,M,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,1,P,P,P,Predation-Drupella ,P
Moorea,,MRSF1,1,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Porites,1,E,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,1,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"PR, B",PR,,"Pigmentation Response, Bleached",PR
Moorea,,MRSF1,1,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Porites,1,M,2,"PR, PD",PR,,"Pigmentation Response, Partly dead",PR
Moorea,,MRSF1,1,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,1,P,P,P,Predation,P
Moorea,,MRSF1,1,Pocillopora,1,SM,2,"PR, B",PR,,"Pigmentation Response, Bleached",PR
Moorea,,MRSF1,1,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,1,Porites,1,M,2,"PR, PD",PR,,"Pigmentation Response, Partly dead",PR
Moorea,,MRSF1,1,Porites,3,M,3,PD,,,,PD
Moorea,,MRSF1,1,Pocillopora,2,SM,1,P,P,P,Predation - Drupella,P
Moorea,,MRSF1,1,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,1,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF1,1,Acropora,1,D,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,1,Montastrea,1,M,1,B,B,B,Bleached,BL
Moorea,,MRSF1,1,Pocillopora,7,SM,0,,,,,H
Moorea,,MRSF1,1,Porites,3,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Pocillopora,8,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,7,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,1,SM,2,PR,PR,,Pigmentation response,PR
Moorea,,MRSF1,2,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,2,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Montipora,1,SM,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,2,Pocillopora,5,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,2,SM,1,B,B,B,Bleaching ,BL
Moorea,,MRSF1,2,Pocillopora,15,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,9,SM,1,B,B,B,Predation,BL
Moorea,,MRSF1,2,Pocillopora,2,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,2,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Pocillopora,1,SM,1,P,P,P,Predation,P
Moorea,,MRSF1,2,Porites,1,M,2,"PR, PD",PR,,"Pigmentation Response, Partly dead",PR
Moorea,,MRSF1,2,Pocillopora,11,SM,1,"B, ",B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Pocillopora,17,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,2,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,2,Porites,1,M,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,10,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,4,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,4,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,2,Pocillopora,1,SM,2,"PR, B",PR,,"Pigmentation Response, Bleached",PR
Moorea,,MRSF1,2,Acropora,1,T,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,1,B,B,B,Bleached ,BL
Moorea,,MRSF1,2,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Pocillopora,6,SM,0,,,,,H
Moorea,,MRSF1,2,Acropora,2,T,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,2,"PR,PD",PR,,"Pigmentation Response, Partly dead",PR
Moorea,,MRSF1,2,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,2,Pocillopora,2,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,1,P,P,P,Predation-Drupella ,P
Moorea,,MRSF1,2,Pocillopora,3,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,4,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,2,"GA, B",GA,,"Growth Anomalies, Bleached",GA
Moorea,,MRSF1,2,Pocillopora,1,SM,2,"PR, PD",PR,,"Pigmentation Response, Partly dead",PR
Moorea,,MRSF1,2,Pocillopora,1,SM,1,P,P,P,Predation-Drupella ,P
Moorea,,MRSF1,2,Pocillopora,6,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,3,SM,0,,,,,H
Moorea,,MRSF1,2,Porites,1,M,0,,,,,H
Moorea,,MRSF1,2,Acropora,3,T,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,2,GA,GA,,Growth Anomalies,GA
Moorea,,MRSF1,2,Pocillopora,1,SM,2,"GA, PR",GA,,"Growth Anomalies, Pigmentation Response",GA
Moorea,,MRSF1,2,Pocillopora,1,SM,1,B,B,B,Bleached,BL
Moorea,,MRSF1,2,Pocillopora,1,SM,3,PD,,,,PD
Moorea,,MRSF1,2,Pocillopora,7,SM,0,,,,,H
Moorea,,MRSF1,2,Pocillopora,1,SM,2,PR,PR,,Pigmentation Response,PR
Moorea,,MRSF1,2,Acropora,4,T,0,,,,,H
